num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-16.076687816062595
2.0,100.0,0.0,50.0,-24.702691355935027
3.0,150.0,0.0,50.0,-25.0502526145995
4.0,200.0,0.0,50.0,-21.324981025444092
5.0,250.0,0.0,50.0,-22.71444796963902
6.0,300.0,43.0,50.0,-21.86333458808222
7.0,350.0,93.0,50.0,-24.991903337763414
8.0,400.0,143.0,50.0,-21.88452627080433
9.0,450.0,193.0,50.0,-27.385053544825592
10.0,500.0,243.0,50.0,-24.51207630452807
11.0,550.0,293.0,50.0,-20.891492800591067
12.0,600.0,343.0,50.0,-23.871948678666275
13.0,650.0,393.0,50.0,-18.365148169944817
14.0,700.0,443.0,50.0,-21.26594706719978
15.0,750.0,493.0,50.0,-17.850494672029807
16.0,800.0,543.0,50.0,-19.39578106773142
17.0,850.0,593.0,50.0,-24.71280301810441
18.0,900.0,643.0,50.0,-25.27540344938336
19.0,950.0,693.0,50.0,-22.478973774188145
20.0,1000.0,743.0,50.0,-20.09700306974927
21.0,1050.0,793.0,50.0,-18.023447335112408
22.0,1100.0,843.0,50.0,-20.122162074375257
23.0,1150.0,893.0,50.0,-18.61575413986549
24.0,1200.0,943.0,50.0,-16.314208377933674
25.0,1250.0,993.0,50.0,-23.42707403685746
26.0,1300.0,1043.0,50.0,-19.32151465304288
27.0,1350.0,1093.0,50.0,-17.54005517419271
28.0,1400.0,1143.0,50.0,-18.032182077438346
29.0,1450.0,1193.0,50.0,-23.206526630486962
30.0,1500.0,1243.0,50.0,-16.517772604440015
31.0,1550.0,1293.0,50.0,-19.029917407858655
32.0,1600.0,1343.0,50.0,-23.115761876812588
33.0,1650.0,1393.0,50.0,-22.319970280434138
34.0,1700.0,1443.0,50.0,-24.919183463309686
35.0,1750.0,1493.0,50.0,-16.98180181004491
36.0,1800.0,1543.0,50.0,-17.100050628322602
37.0,1850.0,1593.0,50.0,-20.4627100486046
38.0,1900.0,1643.0,50.0,-26.210200171534964
39.0,1950.0,1693.0,50.0,-23.9853875852767
40.0,2000.0,1743.0,50.0,-14.686254163913725
41.0,2050.0,1793.0,50.0,-18.18056056954236
42.0,2100.0,1843.0,50.0,-20.71136921228603
43.0,2150.0,1893.0,50.0,-18.54827634135724
44.0,2200.0,1943.0,50.0,-19.581089649901056
45.0,2250.0,1993.0,50.0,-20.926516115319757
46.0,2300.0,2043.0,50.0,-25.006263661527974
47.0,2350.0,2093.0,50.0,-27.037461721845975
48.0,2400.0,2143.0,50.0,-27.27639951823679
49.0,2450.0,2193.0,50.0,-13.568055917359949
50.0,2500.0,2243.0,50.0,-21.21817084707166
51.0,2550.0,2293.0,50.0,-18.93446460328367
52.0,2600.0,2343.0,50.0,-18.35847432525889
53.0,2650.0,2393.0,50.0,-26.48241125809961
54.0,2700.0,2443.0,50.0,-17.219011725295797
55.0,2750.0,2493.0,50.0,-26.724284177408943
56.0,2800.0,2543.0,50.0,-14.102981179431914
57.0,2850.0,2593.0,50.0,-23.20899309367897
58.0,2900.0,2643.0,50.0,-16.80732526630184
59.0,2950.0,2693.0,50.0,-17.4283457954634
60.0,3000.0,2743.0,50.0,-18.379051418866204
61.0,3050.0,2793.0,50.0,-15.594552374987217
62.0,3100.0,2843.0,50.0,-18.98562668610701
63.0,3150.0,2893.0,50.0,-24.330256507138227
64.0,3200.0,2943.0,50.0,-21.98951492386541
65.0,3250.0,2993.0,50.0,-24.14887971096642
66.0,3300.0,3043.0,50.0,-16.442089655331323
67.0,3350.0,3093.0,50.0,-27.05035524559691
68.0,3400.0,3143.0,50.0,-16.088842239420224
69.0,3450.0,3193.0,50.0,-20.820743207309757
70.0,3500.0,3243.0,50.0,-22.014149374159064
71.0,3550.0,3293.0,50.0,-25.35729325783155
72.0,3600.0,3343.0,50.0,-15.41744150897061
73.0,3650.0,3393.0,50.0,-14.422031198710494
74.0,3700.0,3443.0,50.0,-18.417418547283845
75.0,3750.0,3493.0,50.0,-16.582640505039
76.0,3800.0,3543.0,50.0,-18.04278857964522
77.0,3850.0,3593.0,50.0,-17.57795437658539
78.0,3900.0,3643.0,50.0,-18.03584238802468
79.0,3950.0,3693.0,50.0,-19.140343262128532
80.0,4000.0,3743.0,50.0,-20.42119072330152
81.0,4050.0,3793.0,50.0,-27.936575480531168
82.0,4100.0,3843.0,50.0,-15.833925267622611
83.0,4150.0,3893.0,50.0,-19.569506834407736
84.0,4200.0,3943.0,50.0,-15.78484805445406
85.0,4250.0,3993.0,50.0,-23.667814360336866
86.0,4300.0,4043.0,50.0,-24.23744731618941
87.0,4350.0,4093.0,50.0,-28.477158304384677
88.0,4400.0,4143.0,50.0,-11.826843784552079
89.0,4450.0,4193.0,50.0,-16.130047817351493
90.0,4500.0,4243.0,50.0,-26.45903288373428
91.0,4550.0,4293.0,50.0,-16.62655971603952
92.0,4600.0,4343.0,50.0,-19.269594945171253
93.0,4650.0,4393.0,50.0,-27.764618871698126
94.0,4700.0,4443.0,50.0,-20.01016675902433
95.0,4750.0,4493.0,50.0,-15.476526244253224
